model,linear_type,tp_size,dtype,M,K,N,onednn_geomean_ms,onednn_min_ms,onednn_max_ms,onednn_tflops,sgl_geomean_ms,sgl_min_ms,sgl_max_ms,sgl_tflops,sgl_skipped_reason,speedup_onednn_over_sgl,winner,arithmetic_intensity_flops_per_byte
GLM-5.2-FP8,down,1,bf16,1,10944,4096,0.21173023722969728,0.21023399999999998,0.2131265,0.4234314813653136,0.232503516940768,0.2318905,0.233153,0.38559953492161503,,1.0981120126386799,onednn,0.9996645976384819
GLM-5.2-FP8,down,1,bf16,8,10944,4096,0.2526679817287178,0.2514295,0.25364299999999995,2.8386104922865316,0.24278934029036173,0.242151,0.2436085,2.9541082122561066,,0.9609026780094263,sgl,7.978584528460934
GLM-5.2-FP8,down,1,bf16,16,10944,4096,0.25841679392469064,0.2574975,0.2592455,5.550923940407822,0.24736445890479578,0.2454635,0.2490835,5.798941264040215,,0.9572305853190184,sgl,15.914566812842244
GLM-5.2-FP8,down,1,bf16,32,10944,4096,0.273753379073572,0.2732295,0.274354,10.47988501807305,0.26443138456058535,0.262563,0.267026,10.849332203011212,,0.9659474723397612,sgl,31.6600822673236
GLM-5.2-FP8,down,1,bf16,64,10944,4096,0.40356683255198833,0.401609,0.40587799999999996,14.217738944790124,0.5277249390309156,0.5258545,0.530176,10.87272449647081,,1.3076519090872833,onednn,62.65462027014939
GLM-5.2-FP8,down,1,bf16,128,10944,4096,0.6080670359808868,0.6037429999999999,0.612097,18.872287206768938,0.9807705955640289,0.976929,0.985665,11.700611535361658,,1.612931695897518,onednn,122.72927983178553
GLM-5.2-FP8,down,1,bf16,256,10944,4096,0.9820373072587657,0.977735,0.988208,23.37103826744168,1.5436805488064966,1.5385715,1.5530400000000002,14.867863370918837,,1.5719164001167,onednn,235.7509256142713
GLM-5.2-FP8,down,1,bf16,512,10944,4096,1.8060551094639195,1.8004280000000001,1.8130475000000001,25.415870609632147,2.8441839779165115,2.83561,2.8553335,16.13906249820926,,1.5748046463325993,onednn,436.9407361197754
GLM-5.2-FP8,down,1,bf16,1024,10944,4096,3.4865499382101026,3.4661565000000003,3.5072895,26.33116621846813,5.387460831319724,5.3850685,5.3934394999999995,17.0404813745089,,1.545212581720684,onednn,762.1501632208923
GLM-5.2-FP8,down,1,bf16,2048,10944,4096,6.314141559713226,6.3018665,6.3414515,29.079147207516698,10.304402870094972,10.298943000000001,10.308462500000001,17.818582427213247,,1.6319562639902192,onednn,1213.892547660312
GLM-5.2-FP8,down,1,bf16,4096,10944,4096,11.907182285305032,11.8992595,11.910391,30.840184941251426,21.17462912796341,21.0163605,21.2625125,17.342438518700963,,1.7783072955971775,onednn,1725.1625615763546
GLM-5.2-FP8,down,1,fp16,1,10944,4096,0.2368568218992406,0.236473,0.23731,0.37851241640884076,0.2316796219083008,0.23130050000000002,0.23267349999999998,0.38697079726539313,,0.9781420693335902,sgl,0.9996645976384819
GLM-5.2-FP8,down,1,fp16,8,10944,4096,0.24988053131359647,0.2493325,0.250147,2.870275568206999,0.23959642608670564,0.23937199999999997,0.23993350000000002,2.9934753022586773,,0.9588439116371799,sgl,7.978584528460934
GLM-5.2-FP8,down,1,fp16,16,10944,4096,0.25408192153151415,0.25371699999999997,0.254521,5.6456278327621305,0.24509224888834738,0.244478,0.246678,5.8527022968134315,,0.9646189993015628,sgl,15.914566812842244
GLM-5.2-FP8,down,1,fp16,32,10944,4096,0.26513954585246463,0.2647695,0.2659895,10.82035471840321,0.2549736262519516,0.2544695,0.25577,11.251767401092296,,0.9616582295642544,sgl,31.6600822673236
GLM-5.2-FP8,down,1,fp16,64,10944,4096,0.4176813768309298,0.416133,0.4201825,13.737284423678208,0.4919759049321175,0.491008,0.493385,11.66278229172971,,1.1778736908618763,onednn,62.65462027014939
GLM-5.2-FP8,down,1,fp16,128,10944,4096,0.6156711628040307,0.614383,0.6171850000000001,18.639196436836702,0.9484920176303218,0.947675,0.9494595,12.098800549392353,,1.5405821726495716,onednn,122.72927983178553
GLM-5.2-FP8,down,1,fp16,256,10944,4096,0.9810474326067898,0.978813,0.9832935,23.3946195924647,1.693603698563585,1.6918615,1.6959415,13.551713135408173,,1.7263219313090974,onednn,235.7509256142713
GLM-5.2-FP8,down,1,fp16,512,10944,4096,1.7576834324630366,1.748234,1.768039,26.1153186792442,3.076622095668903,3.0743245,3.0785565,14.919759901815345,,1.7503846476823426,onednn,436.9407361197754
