model,linear_type,tp_size,dtype,M,K,N,onednn_geomean_ms,onednn_min_ms,onednn_max_ms,onednn_tflops,sgl_geomean_ms,sgl_min_ms,sgl_max_ms,sgl_tflops,sgl_skipped_reason,speedup_onednn_over_sgl,winner,arithmetic_intensity_flops_per_byte
GLM-5.2-FP8,down,1,bf16,1,10944,4096,0.22756654244789332,0.22663699999999998,0.2282555,0.39396497848768,0.2546461731565715,0.2541665,0.25561049999999996,0.35206988146990875,,1.1189965379681361,onednn,0.9996645976384819
GLM-5.2-FP8,down,1,bf16,8,10944,4096,0.27114040560040986,0.2684935,0.27344650000000004,2.6452198535728524,0.26068122927297854,0.2584925,0.2631075,2.751352623279752,,0.9614252390591854,sgl,7.978584528460934
GLM-5.2-FP8,down,1,bf16,16,10944,4096,0.27880396299285154,0.277055,0.28019649999999996,5.145020008330294,0.26928149629141407,0.268672,0.27034199999999997,5.326960774340205,,0.965845296461293,sgl,15.914566812842244
GLM-5.2-FP8,down,1,bf16,32,10944,4096,0.29810343372114584,0.295455,0.30126200000000003,9.623854043505085,0.2868598834118731,0.28595550000000003,0.2883115,10.001063592014471,,0.9622830566930326,sgl,31.6600822673236
GLM-5.2-FP8,down,1,bf16,64,10944,4096,0.41736642831128923,0.415607,0.41995150000000003,13.747650704000813,0.5473946452227857,0.5459915,0.5504655,10.482031422986891,,1.3115445040407419,onednn,62.65462027014939
GLM-5.2-FP8,down,1,bf16,128,10944,4096,0.6266059087682067,0.6246955000000001,0.629574,18.313928393300625,1.050148069475281,1.0492759999999999,1.0509249999999999,10.927616854767852,,1.6759306843111026,onednn,122.72927983178553
GLM-5.2-FP8,down,1,bf16,256,10944,4096,0.9912868095953342,0.9864390000000001,0.9965975,23.152967704038364,1.7458366908497778,1.72559,1.7568905,13.146264830090493,,1.7611822067545395,onednn,235.7509256142713
GLM-5.2-FP8,down,1,bf16,512,10944,4096,1.7854733642703724,1.7744845,1.799947,25.70884780169089,3.2341106471927077,3.225705,3.2468135,14.193225892207657,,1.8113463420465619,onednn,436.9407361197754
GLM-5.2-FP8,down,1,bf16,1024,10944,4096,3.3417907794477233,3.3381735,3.344084,27.471775467395368,5.98283056667078,5.973749,5.991388,15.344731048114234,,1.790306743158686,onednn,762.1501632208923
GLM-5.2-FP8,down,1,bf16,2048,10944,4096,6.197807584194853,6.1953275,6.200946,29.62496808907508,11.629356073630147,11.623567000000001,11.633727,15.788479666586174,,1.876366104570008,onednn,1213.892547660312
GLM-5.2-FP8,down,1,bf16,4096,10944,4096,11.890950545355263,11.884388999999999,11.9010875,30.882283330279265,23.179963000123077,23.0521995,23.2738285,15.842117772407583,,1.9493784716123832,onednn,1725.1625615763546
GLM-5.2-FP8,down,1,fp16,1,10944,4096,0.22531445430238484,0.22441149999999999,0.228016,0.3979027811490524,0.24913525430838693,0.24830950000000002,0.2500545,0.35985773369924023,,1.1057224672059132,onednn,0.9996645976384819
GLM-5.2-FP8,down,1,fp16,8,10944,4096,0.2621676595315945,0.260807,0.263436,2.735753087476319,0.25238160635589646,0.251394,0.25387800000000005,2.8418314407136402,,0.9626725386602512,sgl,7.978584528460934
GLM-5.2-FP8,down,1,fp16,16,10944,4096,0.26439925490245747,0.263498,0.2654255,5.425325304071677,0.2546093219587944,0.253996,0.255822,5.633933419893203,,0.9629729178046481,sgl,15.914566812842244
GLM-5.2-FP8,down,1,fp16,32,10944,4096,0.27613110831041937,0.2753735,0.27787,10.38964408448632,0.2641987745866226,0.2631955,0.2647595,10.858884339977797,,0.9567874340677953,sgl,31.6600822673236
GLM-5.2-FP8,down,1,fp16,64,10944,4096,0.4266411536561276,0.42490249999999996,0.4280755,13.44879138552271,0.531142281160789,0.530287,0.5324025,10.802769946049606,,1.244939164000314,onednn,62.65462027014939
GLM-5.2-FP8,down,1,fp16,128,10944,4096,0.6309770330907513,0.629579,0.6326579999999999,18.187057756743265,1.0256577264018476,1.024693,1.026381,11.188543164646244,,1.6255072254814238,onednn,122.72927983178553
GLM-5.2-FP8,down,1,fp16,256,10944,4096,0.9902619882598954,0.9864235,0.9916425,23.176928691699334,1.7000767963659318,1.698887,1.703547,13.500114546037178,,1.7167949658992108,onednn,235.7509256142713
GLM-5.2-FP8,down,1,fp16,512,10944,4096,1.74444769563368,1.741521,1.7497675,26.313464766466204,3.105098733070846,3.1013285,3.1088445,14.782931855633423,,1.7799895868720226,onednn,436.9407361197754
GLM-5.2-FP8,down,1,fp16,1024,10944,4096,3.319679704819346,3.3179625,3.3212265,27.6547541073683,5.909486324906379,5.906867,5.912068,15.535178677895393,,1.7801374983036107,onednn,762.1501632208923
GLM-5.2-FP8,down,1,fp16,2048,10944,4096,6.075301450908147,6.072143499999999,6.0783735,30.222344255288547,11.521449371002472,11.5182165,11.523382999999999,15.936350192720958,,1.8964407715571423,onednn,1213.892547660312
GLM-5.2-FP8,down,1,fp16,4096,10944,4096,11.82741330345229,11.777676499999998,12.0093975,31.048183942368247,22.406673063496825,22.369891,22.452058,16.38885446167576,,1.8944694404952067,onednn,1725.1625615763546
GLM-5.2-FP8,down,2,bf16,1,5472,4096,0.06153175573788022,0.0612725,0.061840000000000006,0.7285120254159073,0.054843445880658905,0.053711499999999995,0.055666999999999994,0.81735608111759,,0.8913031202016578,sgl,0.9995732929935851
GLM-5.2-FP8,down,2,bf16,8,5472,4096,0.058647939284123804,0.0566995,0.0598815,6.114673360690062,0.052145306041849755,0.051157499999999995,0.0533275,6.8771864472746875,,0.8891242672522284,sgl,7.972772079999089
GLM-5.2-FP8,down,2,bf16,16,5472,4096,0.06822183132699382,0.0673925,0.068635,10.513144693555159,0.06105796267246555,0.060892,0.061269000000000004,11.746641266879958,,0.894991551601845,sgl,15.891457742484402
GLM-5.2-FP8,down,2,bf16,32,5472,4096,0.08697216660088075,0.0856385,0.0884295,16.493230237470865,0.08157322542543957,0.080362,0.0829055,17.584838168635773,,0.9379233450602976,sgl,31.568756479019246
GLM-5.2-FP8,down,2,bf16,64,5472,4096,0.176526882284452,0.1760455,0.17740699999999998,16.25193794210393,0.14707817494475017,0.146233,0.148165,19.505979980222776,,0.8331772081475457,sgl,62.297963177087965
